"","date","province","confirmed_cases","active_cases"
"465",2020-06-13,"MPUMALANGA",271,154
"466",2020-06-13,"NORTHERN CAPE",144,91
"467",2020-06-13,"NORTH WEST",977,844
"468",2020-06-13,"WESTERN CAPE",40605,12828
"469",2020-06-14,"EASTERN CAPE",10027,4556
"470",2020-06-14,"FREE STATE",495,264
"471",2020-06-14,"GAUTENG",11164,7876
"472",2020-06-14,"KWAZULU NATAL",3874,1995
"473",2020-06-14,"LIMPOPO",326,137
"474",2020-06-14,"MPUMALANGA",297,164
"475",2020-06-14,"NORTHERN CAPE",156,103
"476",2020-06-14,"NORTH WEST",1097,940
"477",2020-06-14,"WESTERN CAPE",42539,13929
"478",2020-06-15,"EASTERN CAPE",10597,5030
"479",2020-06-15,"FREE STATE",512,281
"480",2020-06-15,"GAUTENG",12193,8758
"481",2020-06-15,"KWAZULU NATAL",3959,2080
"482",2020-06-15,"LIMPOPO",362,159
"483",2020-06-15,"MPUMALANGA",322,183
"484",2020-06-15,"NORTHERN CAPE",205,152
"485",2020-06-15,"NORTH WEST",1177,1020
"486",2020-06-15,"WESTERN CAPE",44143,14372
"487",2020-06-16,"EASTERN CAPE",11039,5319
"488",2020-06-16,"FREE STATE",578,347
"489",2020-06-16,"GAUTENG",13023,9494
"490",2020-06-16,"KWAZULU NATAL",4048,1842
"491",2020-06-16,"LIMPOPO",391,174
"492",2020-06-16,"MPUMALANGA",343,204
"493",2020-06-16,"NORTHERN CAPE",211,158
"494",2020-06-16,"NORTH WEST",1281,1124
"495",2020-06-16,"WESTERN CAPE",45357,13921
