"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"180","27/05/2020",27,5,2020,25,1,"Albania","AL","ALB",2866376,"Europe"
"181","26/05/2020",26,5,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"182","25/05/2020",25,5,2020,9,1,"Albania","AL","ALB",2866376,"Europe"
"183","24/05/2020",24,5,2020,8,0,"Albania","AL","ALB",2866376,"Europe"
"184","23/05/2020",23,5,2020,12,0,"Albania","AL","ALB",2866376,"Europe"
"185","22/05/2020",22,5,2020,5,0,"Albania","AL","ALB",2866376,"Europe"
"186","21/05/2020",21,5,2020,15,0,"Albania","AL","ALB",2866376,"Europe"
"187","20/05/2020",20,5,2020,1,0,"Albania","AL","ALB",2866376,"Europe"
"188","19/05/2020",19,5,2020,2,0,"Albania","AL","ALB",2866376,"Europe"
"189","18/05/2020",18,5,2020,13,0,"Albania","AL","ALB",2866376,"Europe"
"190","17/05/2020",17,5,2020,17,0,"Albania","AL","ALB",2866376,"Europe"
"191","16/05/2020",16,5,2020,18,0,"Albania","AL","ALB",2866376,"Europe"
"192","15/05/2020",15,5,2020,18,0,"Albania","AL","ALB",2866376,"Europe"
"193","14/05/2020",14,5,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"194","13/05/2020",13,5,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"195","12/05/2020",12,5,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"196","11/05/2020",11,5,2020,12,0,"Albania","AL","ALB",2866376,"Europe"
"197","10/05/2020",10,5,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"198","09/05/2020",9,5,2020,8,0,"Albania","AL","ALB",2866376,"Europe"
"199","08/05/2020",8,5,2020,10,0,"Albania","AL","ALB",2866376,"Europe"
"200","07/05/2020",7,5,2020,12,0,"Albania","AL","ALB",2866376,"Europe"
"201","06/05/2020",6,5,2020,17,0,"Albania","AL","ALB",2866376,"Europe"
"202","05/05/2020",5,5,2020,8,0,"Albania","AL","ALB",2866376,"Europe"
"203","04/05/2020",4,5,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"204","03/05/2020",3,5,2020,7,0,"Albania","AL","ALB",2866376,"Europe"
"205","02/05/2020",2,5,2020,9,0,"Albania","AL","ALB",2866376,"Europe"
"206","01/05/2020",1,5,2020,7,0,"Albania","AL","ALB",2866376,"Europe"
"207","30/04/2020",30,4,2020,16,1,"Albania","AL","ALB",2866376,"Europe"
"208","29/04/2020",29,4,2020,14,2,"Albania","AL","ALB",2866376,"Europe"
"209","28/04/2020",28,4,2020,10,0,"Albania","AL","ALB",2866376,"Europe"
"210","27/04/2020",27,4,2020,14,1,"Albania","AL","ALB",2866376,"Europe"
"211","26/04/2020",26,4,2020,34,0,"Albania","AL","ALB",2866376,"Europe"
"212","25/04/2020",25,4,2020,15,0,"Albania","AL","ALB",2866376,"Europe"
"213","24/04/2020",24,4,2020,29,0,"Albania","AL","ALB",2866376,"Europe"
"214","23/04/2020",23,4,2020,25,1,"Albania","AL","ALB",2866376,"Europe"
"215","22/04/2020",22,4,2020,25,0,"Albania","AL","ALB",2866376,"Europe"
"216","21/04/2020",21,4,2020,22,0,"Albania","AL","ALB",2866376,"Europe"
"217","20/04/2020",20,4,2020,14,0,"Albania","AL","ALB",2866376,"Europe"
"218","19/04/2020",19,4,2020,9,0,"Albania","AL","ALB",2866376,"Europe"
"219","18/04/2020",18,4,2020,21,0,"Albania","AL","ALB",2866376,"Europe"
"220","17/04/2020",17,4,2020,24,1,"Albania","AL","ALB",2866376,"Europe"
"221","16/04/2020",16,4,2020,19,1,"Albania","AL","ALB",2866376,"Europe"
"222","15/04/2020",15,4,2020,8,1,"Albania","AL","ALB",2866376,"Europe"
"223","14/04/2020",14,4,2020,21,0,"Albania","AL","ALB",2866376,"Europe"
"224","13/04/2020",13,4,2020,13,0,"Albania","AL","ALB",2866376,"Europe"
"225","12/04/2020",12,4,2020,17,0,"Albania","AL","ALB",2866376,"Europe"
"226","11/04/2020",11,4,2020,7,0,"Albania","AL","ALB",2866376,"Europe"
"227","10/04/2020",10,4,2020,9,1,"Albania","AL","ALB",2866376,"Europe"
"228","09/04/2020",9,4,2020,17,0,"Albania","AL","ALB",2866376,"Europe"
"229","08/04/2020",8,4,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"230","07/04/2020",7,4,2020,16,1,"Albania","AL","ALB",2866376,"Europe"
"231","06/04/2020",6,4,2020,28,2,"Albania","AL","ALB",2866376,"Europe"
"232","05/04/2020",5,4,2020,29,2,"Albania","AL","ALB",2866376,"Europe"
"233","04/04/2020",4,4,2020,27,1,"Albania","AL","ALB",2866376,"Europe"
